"Reference","Value","Do Not Place","Exclude from BOM","Exclude from Board","Exclude from Simulation","MANUFACTURER_PART_NUMBER","Qty"
"D2","XL-1005UBC","","","","","XL-1005UBC","1"
"R20","3.6k","","","","","WR02X362JAL","1"
"R21,R24,R30,R31,R36,R50,R51","2.2k","","","","","WR02X222JAL","7"
"J2,J3,J4,J5","WJ126V-5.0-2P","","","","","WJ126V-5.0-2P","4"
"IC5","W25Q16JVUXIQ","","","","","W25Q16JVUXIQ","1"
"U11","TMUX1574DYYR","","","","","TMUX1574DYYR","1"
"U9","TLV803SDBZR","","","","","TLV803SDBZR","1"
"C2,C3,C4,C5,C55,C67,C68","1uF","","","","","TCC0402X5R105M6R3AT","7"
"C26,C28,C33,C39,C61,C63","30pF","","","","","TCC0201COG300J500ZT","6"
"S1","SKRPACE010","","","","","SKRPACE010","1"
"IC1","SL2.1s","","","","","SL2.1S","1"
"U4","RT5752BHGJ5","","","","","RT5752BHGJ5","1"
"U3,U6,U8","RQ12000160","","","","","RQ12000160","3"
"U10","RP2040","","","","","RP2040","1"
"R43,R44,R53,R54","100","","","","","RC0201JR-07100RL","4"
"R19,R22,R23,R25,R26,R32,R34,R37,R38,R39,R42,R47","10k","未実装(DNP)","","","","RC0201FR-0710KL","12"
"R1,R2,R3,R4,R5,R6,R7,R8","1M","","","","","RC0201FR-071ML","8"
"R52","1k","","","","","RC0201FR-071KL","1"
"R9,R10,R11,R12,R13,R14,R15,R16","240","","","","","RC-01W241JT","8"
"R29","100k","","","","","RC-01W104JT","1"
"R40,R45,R46,R48,R49","30","","","","","RC-01W30R0FT","5"
"IC3","MTS4P","","","","","MTS4P","1"
"IC2","MT9700","","","","","MT9700","1"
"D1","LESD5D5-0CT1G","","","","","LESD5D5.0CT1G-ES","1"
"IC4","LCMXO2-1200HC-4SG32I","","","","","LCMXO2-1200HC-4SG32I","1"
"C27,C29,C31,C34","22uF","","","","","HGC0603R5226M100NTHJ","4"
"C15,C16,C21,C22,C24,C40","10uF","","","","","HGC0402R5106M100NTEJ","6"
"L1,L2,L4,L5,L6,L7,L8","HCB1005KF-121T20","","","","","HCB1005KF-121T20","7"
"J1","GT-USB-7010ASV","","","","","GT-USB-7010ASV","1"
"C1,C6,C7,C8,C9,C10,C11,C12,C13,C14,C19,C20,C23,C25,C30,C32,C35,C36,C37,C38,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C56,C57,C58,C59,C60,C62,C64,C65,C66,C69,C70,C71,C72,C73,C74,C75,C76,C77","0.1uF","","","","","GRM033R61E104KE14D","52"
"L3","1.5uH","","","","","FTC252012S1R5MBCA","1"
"U7","FT2232HL","","","","","FT2232HL","1"
"SW1","DSWB02LHGETB","","","","","DSWB02LHGETB","1"
"U1,U2","ADS1115IDGSR","","","","","ADS1115IDGSR","2"
"U5","93LC56BT-I","","","","","93LC56BT-I","1"
"J12,J13","1.0-3PWB","","","","","1.0-3PWB","2"
"R17,R18","5.1k","","","","","0201WMF5101TEE","2"
"R27,R33,R35,R55","4.7k","","","","","0201WMF4701TEE","4"
"R28","22k","","","","","0201WMF2202TEE","1"
"R41","12k","","","","","0201WMF1202TEE","1"
"C17,C18,C78","0.01uF","","","","","0201B103K250NT","3"
"TP1,TP2","TestPoint","","","","","","2"
"RN2","10kΩ","","","","","","1"
"RN1,RN3","30Ω","","","","","","2"
"R65","0","","","","","","1"
"J11","Conn_01x04","","","","","","1"
"J6,J7,J8,J9,J10","Conn_02x03_Odd_Even","","","","","","5"
