Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C21, C22, C23, C24, C25, C26, C27, C29, C30, C31, C34, C35, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C50, C51, C53, C55, C56, C57, C58, C59, C6, C60, C61, C62, C63, C64, C65, C67, C69, C70, C71, C75, C76, C77, C78, C8, C80, C81, C82, C83, C84, C86, C87, C89, C9, C90, C92, C93",0201,64,0.1uF,
"C15, C16, C17, C2, C68, C7",0402,6,10uF,
"C18, C19, C47, C48, C72, C73",0201,6,30pF,
"C20, C28, C33, C36, C49, C54, C66, C74, C85, C88, C91",0402,11,1uF,
"C3, C4, C5",0603,3,22uF,
"C32, C52",0201,2,0.01uF,
D1,D_SOD-523,1,LESD5D5-0CT1G,
D2,0402,1,XL-1005UBC,
IC1,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,MT9700,
IC2,SSOP-16_L4.6-W2.6-P0.53-LS4.0-BL,1,SL2.1s,
IC3,SON50P300X200X60-9N_handsolder,1,W25Q16JVUXIQ,
IC4,QFN50P500X500X60-33N_handsolder,1,LCMXO2-1200HC-4SG32I,https://www.lcsc.com/product-detail/Programmable-Logic-Device-CPLDs-FPGAs_Lattice-LCMXO2-1200HC-4SG32I_C1551142.html
IC5,MTS4P,1,MTS4P,
J1,USB-C-SMD_G-SWITCH_GT-USB-7010ASV,1,GT-USB-7010ASV,
J10,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
"J11, J6, J7, J8, J9",PinHeader_2x03_P2.54mm_Vertical,5,Conn_02x03_Odd_Even,
J12,1.0-3PWB,1,1.0-3PWB,
J13,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,PH-2A,
"J2, J3, J4, J5",WJ126V-5.0-2P,4,WJ126V-5.0-2P,
"L1, L2, L4, L5, L6, L7, L8, L9",0402,8,HCB1005KF-121T20,
L3,FTC252012S1R5MBCA,1,1.5uH,
"R10, R11",0201,2,5.1k,
"R14, R15, R22, R32, R46, R47, R59, R61, R9",0201,9,30,
"R16, R21, R30, R34, R37, R41, R42, R45",0201,8,1M,
"R17, R18, R28, R35, R63, R64, R71",0201,7,2.2k,
"R19, R20, R31, R33, R38, R39, R40, R43, R44, R67, R68, R69, R72, R73, R74, R75",0201,16,240,
"R2, R26, R27, R36, R5",0201,5,4.7k,
"R24, R25, R29, R3, R48, R49, R50, R51, R53, R55, R56, R58, R60",0201,13,10k,
R4,0201,1,100k,
R52,0201,1,12k,
R6,0201,1,1k,
"R62, R70",0201,2,100,
R65,0201,1,0,
R7,0201,1,3.6k,
R8,0201,1,22k,
S1,SW_SKRPACE010,1,SKRPACE010,
SW1,DSWB02LHGETB,1,DSWB02LHGETB,
"TP10, TP12, TP3, TP9",TestPoint_Pad_D1.0mm,4,TestPoint,
U1,TSOT-23-5,1,RT5752BHGJ5,
"U10, U3, U6",CRYSTAL-SMD_4P-L2.5-W2.0-BL,3,RQ12000160,
U12,SOT-23-THIN-16_DYY_TEX,1,TMUX1574DYYR,https://www.lcsc.com/product-detail/Analog-Switches-Multiplexers_Texas-Instruments-TMUX1574DYYR_C1855769.html
U2,DBZ0003A_N,1,TLV803SDBZR,
"U4, U7",DGS0010A_M,2,ADS1115IDGSR,
U5,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_handsolder,1,RP2040,
U8,LQFP-64_10x10mm_P0.5mm,1,FT2232HL,
U9,93LC56BT-I,1,93LC56BT-I,
